GRP,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCIENTIFIC_NAME
_30,7300,PYNU,Pygmy Nuthatch,Sitta pygmaea
_30,7290,BHNU,Brown-headed Nuthatch,Sitta pusilla
_30,7260,BRCR,Brown Creeper,Certhia americana
_30,7510,BGGN,Blue-gray Gnatcatcher,Polioptila caerulea
_30,7520,BTGN,Black-tailed Gnatcatcher,Polioptila melanura
_30,7530,CAGN,California Gnatcatcher,Polioptila californica
_30,7531,BCGN,Black-capped Gnatcatcher,Polioptila nigriceps
_30,7150,ROWR,Rock Wren,Salpinctes obsoletus
_30,7170,CANW,Canyon Wren,Catherpes mexicanus
_30,7210,HOWR,House Wren,Troglodytes aedon
_30,9109,SHWR,Southern House Wren,Troglodytes aedon musculus
_30,7221,PAWR,Pacific Wren,Troglodytes pacificus
_30,7220,WIWR,Winter Wren,Troglodytes hiemalis
_30,7240,SEWR,Sedge Wren,Cistothorus stellaris
_30,7250,MAWR,Marsh Wren,Cistothorus palustris
_30,7180,CARW,Carolina Wren,Thryothorus ludovicianus
_30,7190,BEWR,Bewick's Wren,Thryomanes bewickii
_30,7130,CACW,Cactus Wren,Campylorhynchus brunneicapillus
_31,7040,GRCA,Gray Catbird,Dumetella carolinensis
_32,7121,BLMO,Blue Mockingbird,Melanotis caerulescens
_32,7111,PETH,Pearly-eyed Thrasher,Margarops fuscatus
_32,9116,BRTR,Brown Trembler,Cinclocerthia ruficauda
_32,7070,CBTH,Curve-billed Thrasher,Toxostoma curvirostre
_32,7050,BRTH,Brown Thrasher,Toxostoma rufum
_32,7060,LBTH,Long-billed Thrasher,Toxostoma longirostre
_32,7080,BETH,Bendire's Thrasher,Toxostoma bendirei
_32,7100,CATH,California Thrasher,Toxostoma redivivum
_32,7110,LCTH,LeConte's Thrasher,Toxostoma lecontei
_32,7120,CRTH,Crissal Thrasher,Toxostoma crissale
_32,7020,SATH,Sage Thrasher,Oreoscoptes montanus
_32,7031,BAMO,Bahama Mockingbird,Mimus gundlachii
_32,7032,TRMO,Tropical Mockingbird,Mimus gilvus
_32,7030,NOMO,Northern Mockingbird,Mimus polyglottos
_32,8720,MIST,Micronesian Starling,Aplonis opaca
_32,8650,POST,Polynesian Starling,Aplonis tabuensis
_32,8640,SAST,Samoan Starling,Aplonis atrifusca
_32,4930,EUST,European Starling,Sturnus vulgaris
_32,4934,HIMY,Hill Myna,Gracula religiosa
_32,4932,COMY,Common Myna,Acridotheres tristis
_32,4935,JUMY,Jungle Myna,Acridotheres fuscus
_32,4931,CRMY,Crested Myna,Acridotheres cristatellus
_33,7010,AMDI,American Dipper,Cinclus mexicanus
_33,7660,EABL,Eastern Bluebird,Sialia sialis
_33,7670,WEBL,Western Bluebird,Sialia mexicana
_33,7680,MOBL,Mountain Bluebird,Sialia currucoides
_33,7676,HYBL,Hybrid Western/Mountain Bluebird,Sialia mexicana x currucoides
_34,7540,TOSO,Townsend's Solitaire,Myadestes townsendi
_34,9127,RTSO,Rufous-throated Solitaire,Myadestes genibarbis
_34,7541,OMAO,Omao,Myadestes obscurus
_34,7542,PUAI,Puaiohi,Myadestes palmeri
_34,7424,OBNT,Orange-billed Nightingale-Thrush,Catharus aurantiirostris
_34,7560,VEER,Veery,Catharus fuscescens
_34,7570,GCTH,Gray-cheeked Thrush,Catharus minimus
_34,7571,BITH,Bicknell's Thrush,Catharus bicknelli
_34,7579,GCBT,Unidentified Gray-cheeked/Bicknell's Thrush,Catharus sp.
_34,7580,SWTH,Swainson's Thrush,Catharus ustulatus
_34,7590,HETH,Hermit Thrush,Catharus guttatus
_35,7550,WOTH,Wood Thrush,Hylocichla mustelina
_35,7612,FIEL,Fieldfare,Turdus pilaris
_35,7621,CCTH,Clay-colored Thrush,Turdus grayi
_35,9120,WETH,White-eyed Thrush,Turdus jamaicensis
_35,7622,RBRO,Rufous-backed Robin,Turdus rufopalliatus
_35,7610,AMRO,American Robin,Turdus migratorius
_35,9122,WCTH,White-chinned Thrush,Turdus aurantius
_35,7623,RLTH,Red-legged Thrush,Turdus plumbeus
_35,7630,VATH,Varied Thrush,Ixoreus naevius
_35,7631,AZTH,Aztec Thrush,Ridgwayia pinicola
_35,7690,WRSH,White-rumped Shama,Copsychus malabaricus
_35,7640,BLUE,Bluethroat,Cyanecula svecica
_35,7641,SIRU,Siberian Rubythroat,Calliope calliope
_35,7642,RFBL,Red-flanked Bluetail,Tarsiger cyanurus
_35,7650,NOWH,Northern Wheatear,Oenanthe oenanthe
_35,6510,OLWA,Olive Warbler,Peucedramus taeniatus
_35,8041,NRBI,Northern Red Bishop,Euplectes franciscanus
_35,8042,YCBI,Yellow-crowned Bishop,Euplectes afer
_35,8131,PTWH,Pin-tailed Whydah,Vidua macroura
_35,8101,BRMA,Bronze Mannikin,Spermestes cucullata
_35,8100,AFSI,African Silverbill,Euodice cantans
_35,8130,JAVS,Java Sparrow,Padda oryzivora
_35,8110,SBMU,Scaly-breasted Munia,Lonchura punctulata
_35,8120,TRMU,Tricolored Munia,Lonchura malacca
_35,8090,REAV,Red Avadavat,Amandava amandava
_35,8060,LAVW,Lavender Waxbill,Estrilda caerulescens
_35,8070,ORAW,Orange-cheeked Waxbill,Estrilda melpoda
_35,8081,COMW,Common Waxbill,Estrilda astrild
_35,6882,HOSP,House Sparrow,Passer domesticus
_35,6883,ETSP,Eurasian Tree Sparrow,Passer montanus
_35,6960,EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis
_35,6983,OBPI,Olive-backed Pipit,Anthus hodgsoni
_35,6990,RTPI,Red-throated Pipit,Anthus cervinus
_35,6970,AMPI,American Pipit,Anthus rubescens
_35,7000,SPPI,Sprague's Pipit,Anthus spragueii
_36,5141,BRAM,Brambling,Fringilla montifringilla
_36,6061,ANEU,Antillean Euphonia,Euphonia musica
_36,9153,JAEU,Jamaican Euphonia,Euphonia jamaica
_36,5140,EVGR,Evening Grosbeak,Coccothraustes vespertinus
_36,5161,CORO,Common Rosefinch,Carpodacus erythrinus
_36,8040,POUL,Poo-uli,Melamprosops phaeosoma
_36,7900,AKIK,Akikiki,Oreomystis bairdi
_36,7940,OAAL,Oahu Alauahio,Paroreomyza maculata
_36,7920,MAAL,Maui Alauahio,Paroreomyza montana
_36,7770,PALI,Palila,Loxioides bailleui
_36,7740,LAFI,Laysan Finch,Telespiza cantans
_36,7750,NIFI,Nihoa Finch,Telespiza ultima
_36,8010,AKOH,Akohekohe,Palmeria dolei
_36,8020,APAP,Apapane,Himatione sanguinea
_36,7980,IIWI,Iiwi,Drepanis coccinea
_36,7760,OU,Ou,Psittirostra psittacea
_36,7810,MAPA,Maui Parrotbill,Pseudonestor xanthophrys
_36,7890,AKIP,Akiapolaau,Hemignathus wilsoni
_36,7870,OAAK,Oahu Akialoa,Akialoa ellisiana
_36,7840,ANIA,Anianiau,Magumma parva
_36,7820,HAAM,Hawaii Amakihi,Chlorodrepanis virens
_36,7821,OAAM,Oahu Amakihi,Chlorodrepanis flava
_36,7830,KAAM,Kauai Amakihi,Chlorodrepanis stejnegeri
_36,7910,HCRE,Hawaii Creeper,Loxops mana
_36,7960,AKEK,Akekee,Loxops caeruleirostris
_36,7950,AKEP,Akepa,Loxops coccineus
_36,5150,PIGR,Pine Grosbeak,Pinicola enucleator
_36,5240,GCRF,Gray-crowned Rosy-Finch,Leucosticte tephrocotis
_36,5250,BLRF,Black Rosy-Finch,Leucosticte atrata
_36,5260,BCRF,Brown-capped Rosy-Finch,Leucosticte australis
_37,5190,HOFI,House Finch,Haemorhous mexicanus
_38,5170,PUFI,Purple Finch,Haemorhous purpureus
_38,5180,CAFI,Cassin's Finch,Haemorhous cassinii
_38,5332,YFCA,Yellow-fronted Canary,Crithagra mozambica
_38,5280,CORE,Common Redpoll,Acanthis flammea
_38,5270,HORE,Hoary Redpoll,Acanthis hornemanni
_38,5276,UNRE,Unidentified Common/Hoary Redpoll,Acanthis sp.
_39,5290,AMGO,American Goldfinch,Spinus tristis
_40,5210,RECR,Red Crossbill,Loxia curvirostra
_40,5220,WWCR,White-winged Crossbill,Loxia leucoptera
_40,5261,EUGO,European Goldfinch,Carduelis carduelis
_40,5330,PISI,Pine Siskin,Spinus pinus
_40,5300,LEGO,Lesser Goldfinch,Spinus psaltria
_40,5310,LAGO,Lawrence's Goldfinch,Spinus lawrencei
_40,5331,COCA,Common Canary,Serinus canaria
_40,5360,LALO,Lapland Longspur,Calcarius lapponicus
_40,5380,CCLO,Chestnut-collared Longspur,Calcarius ornatus
_40,5370,SMLO,Smith's Longspur,Calcarius pictus
_40,5390,MCLO,McCown's Longspur,Rhynchophanes mccownii
_40,5340,SNBU,Snow Bunting,Plectrophenax nivalis
_40,5350,MKBU,McKay's Bunting,Plectrophenax hyperboreus
_40,5351,RUBU,Rustic Bunting,Emberiza rustica
_41,5790,RWSP,Rufous-winged Sparrow,Peucaea carpalis
_41,5760,BOSP,Botteri's Sparrow,Peucaea botterii
_41,5780,CASP,Cassin's Sparrow,Peucaea cassinii
_41,5750,BACS,Bachman's Sparrow,Peucaea aestivalis
_41,5460,GRSP,Grasshopper Sparrow,Ammodramus savannarum
_41,5464,FGSP,Florida Grasshopper Sparrow,Ammodramus savannarum floridanus
_41,5860,OLSP,Olive Sparrow,Arremonops rufivirgatus
_41,5742,FSSP,Five-striped Sparrow,Amphispizopsis quinquestriata
_41,5730,BTSP,Black-throated Sparrow,Amphispiza bilineata
_41,5520,LASP,Lark Sparrow,Chondestes grammacus
_41,6050,LARB,Lark Bunting,Calamospiza melanocorys
_41,5600,CHSP,Chipping Sparrow,Spizella passerina
_41,5610,CCSP,Clay-colored Sparrow,Spizella pallida
_41,5650,BCSP,Black-chinned Sparrow,Spizella atrogularis
_41,5630,FISP,Field Sparrow,Spizella pusilla
_41,5620,BRSP,Brewer's Sparrow,Spizella breweri
_41,5640,WOSP,Worthen's Sparrow,Spizella wortheni
_41,5850,FOSP,Fox Sparrow,Passerella iliaca
_41,5590,ATSP,American Tree Sparrow,Spizelloides arborea
_42,5670,SCJU,Slate-colored Junco,Junco hyemalis hyemalis
_43,5677,UDEJ,Unidentified Dark-eyed Junco,Junco hyemalis
_43,5660,WWJU,White-winged Junco,Junco hyemalis aikeni
_43,5690,GHJU,Gray-headed Junco,Junco hyemalis caniceps
_43,5671,ORJU,Oregon Junco,Junco hyemalis oreganus
_43,5700,YEJU,Yellow-eyed Junco,Junco phaeonotus
_43,5581,RUFS,Rufous-collared Sparrow,Zonotrichia capensis
_43,5540,WCSP,White-crowned Sparrow,Zonotrichia leucophrys
_43,5550,GWCS,Gambel's White-crowned Sparrow,Zonotrichia leucophrys gambelii
_43,5541,EWCS,Eastern White-crowned Sparrow,Zonotrichia leucophrys leucophrys
_43,5560,NWCS,Nuttall's White-crowned Sparrow,Zonotrichia leucophrys nuttalli
_43,5546,MWCS,Mountain White-crowned Sparrow,Zonotrichia leucophrys oriantha
_43,5547,PSWS,Puget Sound White-crowned Sparrow,Zonotrichia leucophrys pugetensis
_43,5570,GCSP,Golden-crowned Sparrow,Zonotrichia atricapilla
_43,5530,HASP,Harris's Sparrow,Zonotrichia querula
_43,5586,ZSHY,Zonotrichia Sparrow Hybrid,Zonotrichia sp.
_44,5580,WTSP,White-throated Sparrow,Zonotrichia albicollis
_45,5810,SOSP,Song Sparrow,Melospiza melodia
_46,5743,SBSP,Sagebrush Sparrow,Artemisiospiza nevadensis
_46,5744,BESP,Bell's Sparrow,Artemisiospiza belli
_46,5741,SCBS,San Clemente Bell's Sparrow,Artemisiospiza belli belli
_46,5740,USSP,Unspecified Sage Sparrow,Artemisiospiza sp.
_46,5400,VESP,Vesper Sparrow,Pooecetes gramineus
_46,5480,LCSP,LeConte's Sparrow,Ammospiza leconteii
_46,5500,SESP,Seaside Sparrow,Ammospiza maritima
_46,5510,DSSP,Dusky Seaside Sparrow,Ammospiza maritima nigrescens
_46,5511,CSSS,Cape Sable Seaside Sparrow,Ammospiza maritima mirabilis
_46,5491,NESP,Nelson's Sparrow,Ammospiza nelsoni
_46,5490,SALS,Saltmarsh Sparrow,Ammospiza caudacuta
_46,5499,STSP,Unidentified Sharp-tailed Sparrow,Ammospiza sp.
_46,5450,BAIS,Baird's Sparrow,Centronyx bairdii
_46,5470,HESP,Henslow's Sparrow,Centronyx henslowii
_46,5420,SAVS,Savannah Sparrow,Passerculus sandwichensis
_46,5430,BSSP,Belding's Savannah Sparrow,Passerculus sandwichensis beldingi
_46,5410,IPSP,Ipswich Sparrow,Passerculus sandwichensis princeps
_46,5440,LBSP,Large-billed Sparrow,Passerculus sandwichensis rostratus
_46,5830,LISP,Lincoln's Sparrow,Melospiza lincolnii
_46,5840,SWSP,Swamp Sparrow,Melospiza georgiana
_46,5910,CANT,Canyon Towhee,Melozone fusca
_46,5920,ABTO,Abert's Towhee,Melozone aberti
_46,5911,CALT,California Towhee,Melozone crissalis
_46,5912,ICTO,Inyo California Towhee,Melozone crissalis eremophilus
_46,5800,RCSP,Rufous-crowned Sparrow,Aimophila ruficeps
_46,5900,GTTO,Green-tailed Towhee,Pipilo chlorurus
_46,5880,SPTO,Spotted Towhee,Pipilo maculatus
_46,5870,EATO,Eastern Towhee,Pipilo erythrophthalmus
_46,5876,URST,Unidentified Rufous-sided Towhee,Pipilo sp.
_47,6102,PRTA,Puerto Rican Tanager,Nesospingus speculiferus
_47,6101,WESP,Western Spindalis,Spindalis zena
_47,6105,JAMS,Jamaican Spindalis,Spindalis nigricephala
_47,6103,HISP,Hispaniolan Spindalis,Spindalis dominicensis
_47,6104,PRSP,Puerto Rican Spindalis,Spindalis portoricensis
_47,6830,YBCH,Yellow-breasted Chat,Icteria virens
_47,4970,YHBL,Yellow-headed Blackbird,Xanthocephalus xanthocephalus
_47,4940,BOBO,Bobolink,Dolichonyx oryzivorus
_47,5010,EAME,Eastern Meadowlark,Sturnella magna
_47,5011,WEME,Western Meadowlark,Sturnella neglecta
_47,5044,BAHO,Bahama Oriole,Icterus northropi
_47,5043,CUOR,Cuban Oriole,Icterus melanopsis
_47,5046,HIOR,Hispaniolan Oriole,Icterus dominicensis
_47,5045,PROR,Puerto Rican Oriole,Icterus portoricensis
_47,5041,BVOR,Black-vented Oriole,Icterus wagleri
_47,5042,BCOR,Black-cowled Oriole,Icterus prosthemelas
_47,5060,OROR,Orchard Oriole,Icterus spurius
_47,5050,HOOR,Hooded Oriole,Icterus cucullatus
_47,9166,VETR,Venezuelan Troupial,Icterus icterus
_47,5051,STRO,Streak-backed Oriole,Icterus pustulatus
_47,5080,BUOR,Bullock's Oriole,Icterus bullockii
_47,9169,JAOR,Jamaican Oriole,Icterus leucopteryx
_47,5032,SPOO,Spot-breasted Oriole,Icterus pectoralis
_47,5031,ALOR,Altamira Oriole,Icterus gularis
_47,5030,AUOR,Audubon's Oriole,Icterus graduacauda
_47,5070,BAOR,Baltimore Oriole,Icterus galbula
_47,5078,BBOH,Baltimore X Bullock's Oriole Hybrid,Icterus galbula x bullockii
_47,5040,SCOR,Scott's Oriole,Icterus parisorum
_47,5000,TRBL,Tricolored Blackbird,Agelaius tricolor
_47,5001,TSBL,Tawny-shouldered Blackbird,Agelaius humeralis
_47,5002,YSBL,Yellow-shouldered Blackbird,Agelaius xanthomus
_47,4961,SHCO,Shiny Cowbird,Molothrus bonariensis
_47,4960,BROC,Bronzed Cowbird,Molothrus aeneus
_47,5090,RUBL,Rusty Blackbird,Euphagus carolinus
_47,5100,BRBL,Brewer's Blackbird,Euphagus cyanocephalus
_47,5110,COGR,Common Grackle,Quiscalus quiscula
_47,5130,BTGR,Boat-tailed Grackle,Quiscalus major
_47,5120,GTGR,Great-tailed Grackle,Quiscalus mexicanus
_47,5131,GAGR,Greater Antillean Grackle,Quiscalus niger
_48,4980,RWBL,Red-winged Blackbird,Agelaius phoeniceus
_49,4950,BHCO,Brown-headed Cowbird,Molothrus ater
_50,6740,OVEN,Ovenbird,Seiurus aurocapilla
_50,6390,WEWA,Worm-eating Warbler,Helmitheros vermivorum
_50,6760,LOWA,Louisiana Waterthrush,Parkesia motacilla
_50,6750,NOWA,Northern Waterthrush,Parkesia noveboracensis
_50,6420,GWWA,Golden-winged Warbler,Vermivora chrysoptera
_50,6410,BWWA,Blue-winged Warbler,Vermivora cyanoptera
_50,6412,BRWA,Brewster's Warbler,Vermivora chrysoptera x cyanoptera
_50,6413,LAWA,Lawrence's Warbler,Vermivora chrysoptera x cyanoptera
_50,6416,GBWH,Golden-winged x Blue-winged Warbler Hybrid,Vermivora chrysoptera x cyanoptera
_50,6360,BAWW,Black-and-white Warbler,Mniotilta varia
_50,6370,PROW,Prothonotary Warbler,Protonotaria citrea
_51,6380,SWWA,Swainson's Warbler,Limnothlypis swainsonii
_51,6470,TEWA,Tennessee Warbler,Leiothlypis peregrina
_51,6460,OCWA,Orange-crowned Warbler,Leiothlypis celata
_51,6471,COLW,Colima Warbler,Leiothlypis crissalis
_51,6430,LUWA,Lucy's Warbler,Leiothlypis luciae
_51,6450,NAWA,Nashville Warbler,Leiothlypis ruficapilla
_51,6440,VIWA,Virginia's Warbler,Leiothlypis virginiae
_51,6780,CONW,Connecticut Warbler,Oporornis agilis
_52,6821,GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala
_52,6800,MGWA,MacGillivray's Warbler,Geothlypis tolmiei
_52,6790,MOWA,Mourning Warbler,Geothlypis philadelphia
_52,6770,KEWA,Kentucky Warbler,Geothlypis formosa
_52,9145,BAYE,Bahama Yellowthroat,Geothlypis rostrata
_52,6810,COYE,Common Yellowthroat,Geothlypis trichas
_52,6581,EWWA,Elfin-woods Warbler,Setophaga angelae
_52,9141,ARRW,Arrowhead Warbler,Setophaga pharetra
_52,6840,HOWA,Hooded Warbler,Setophaga  citrina
_53,6870,AMRE,American Redstart,Setophaga ruticilla
_53,6700,KIWA,Kirtland's Warbler,Setophaga kirtlandii
_53,6500,CMWA,Cape May Warbler,Setophaga tigrina
_53,6580,CERW,Cerulean Warbler,Setophaga cerulea
_53,6480,NOPA,Northern Parula,Setophaga americana
_53,6490,TRPA,Tropical Parula,Setophaga pitiayumi
_53,6570,MAWA,Magnolia Warbler,Setophaga magnolia
_54,6600,BBWA,Bay-breasted Warbler,Setophaga castanea
_54,6620,BLBW,Blackburnian Warbler,Setophaga fusca
_54,6520,YEWA,Yellow Warbler,Setophaga petechia
_54,6590,CSWA,Chestnut-sided Warbler,Setophaga pensylvanica
_54,6610,BLPW,Blackpoll Warbler,Setophaga striata
_54,6540,BTBW,Black-throated Blue Warbler,Setophaga caerulescens
_55,6550,MYWA,Myrtle Warbler,Setophaga coronata coronata
_56,6720,WPWA,Western Palm Warbler,Setophaga palmarum palmarum
_56,6729,YPWA,Yellow Palm Warbler,Setophaga palmarum hypochrysea
_56,9138,OLIW,Olive-capped Warbler,Setophaga pityophila
_56,6710,PIWA,Pine Warbler,Setophaga pinus
_56,6556,UYRW,Unknown Yellow-rumped Warbler,Setophaga coronata
_56,6560,AUWA,Audubon's Warbler,Setophaga auduboni auduboni
_56,6630,YTWA,Yellow-throated Warbler,Setophaga dominica
_56,6634,SUWA,Sutton's Warbler,Setophaga americana x dominica
_56,6730,PRAW,Prairie Warbler,Setophaga discolor
_56,6641,ADWA,Adelaide's Warbler,Setophaga adelaidae
_56,6642,BARW,Barbuda Warbler,Setophaga subita
_56,6643,SLWA,St. Lucia Warbler,Setophaga delicata
_56,6640,GRWA,Grace's Warbler,Setophaga graciae
_56,6650,BTYW,Black-throated Gray Warbler,Setophaga nigrescens
_56,6680,TOWA,Townsend's Warbler,Setophaga townsendi
_56,6690,HEWA,Hermit Warbler,Setophaga occidentalis
_56,6686,THWH,Townsend's X Hermit Warbler Hybrid,Setophaga townsendi x occidentalis
_56,6660,GCWA,Golden-cheeked Warbler,Setophaga chrysoparia
_56,6670,BTNW,Black-throated Green Warbler,Setophaga virens
_56,6881,FTWA,Fan-tailed Warbler,Basileuterus lachrymosus
_56,6921,RCWA,Rufous-capped Warbler,Basileuterus rufifrons
_56,6920,GOLW,Golden-crowned Warbler,Basileuterus culicivorus
_56,6860,CAWA,Canada Warbler,Cardellina canadensis
_56,6850,WIWA,Wilson's Warbler,Cardellina pusilla
_56,6900,RFWA,Red-faced Warbler,Cardellina rubrifrons
_56,6880,PARE,Painted Redstart,Myioborus pictus
_56,6890,SLAR,Slate-throated Redstart,Myioborus miniatus
_56,6366,HYWA,Hybrid Warbler,
_57,6090,HETA,Hepatic Tanager,Piranga flava
_57,6100,SUTA,Summer Tanager,Piranga rubra
_57,6080,SCTA,Scarlet Tanager,Piranga olivacea
_57,6070,WETA,Western Tanager,Piranga ludoviciana
_57,6071,FCTA,Flame-colored Tanager,Piranga bidentata
_57,5930,NOCA,Northern Cardinal,Cardinalis cardinalis
_57,5940,PYRR,Pyrrhuloxia,Cardinalis sinuatus
_57,5950,RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus
_57,5960,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus
_57,5971,BLBU,Blue Bunting,Cyanocompsa parellina
_57,5970,BLGR,Blue Grosbeak,Passerina caerulea
_57,5990,LAZB,Lazuli Bunting,Passerina amoena
_57,5980,INBU,Indigo Bunting,Passerina cyanea
_57,5986,ILBH,Indigo X Lazuli Bunting Hybrid,Passerina amoena x cyanea
_57,6000,VABU,Varied Bunting,Passerina versicolor
_57,6010,PABU,Painted Bunting,Passerina ciris
_57,6040,DICK,Dickcissel,Spiza americana
_57,5922,RCCA,Red-crested Cardinal,Paroaria coronata
_57,5923,YBCA,Yellow-billed Cardinal,Paroaria capitata
_57,5861,SAFI,Saffron Finch,Sicalis flaveola
_57,9184,BBGR,Blue-black Grassquit,Volatinia jacarina
_57,6350,BANA,Bananaquit,Coereba flaveola
_57,6032,YFGR,Yellow-faced Grassquit,Tiaris olivaceus
_57,9151,ORAN,Orangequit,Euneornis campestris
_57,6021,PUEB,Puerto Rican Bullfinch,Melopyrrha portoricensis
_57,9178,GABU,Greater Antillean Bullfinch,Melopyrrha violacea
_57,9176,YSGR,Yellow-shouldered Grassquit,Loxipasser anoxanthus
_57,6031,CUGR,Cuban Grassquit,Phonipara canora
_57,6022,LESB,Lesser Antillean Bullfinch,Loxigilla noctis
_57,6030,BFGR,Black-faced Grassquit,Melanospiza bicolor
_57,6020,WCSE,White-collared Seedeater,Sporophila torqueola
_57,9182,YBSE,Yellow-bellied Seedeater,Sporophila nigricollis
_57,9996,HYPA,Hybrid Passerine,
_57,0,----,Unidentified Dead Bird,
